Date,Short Volume,Total Volume
2018-11-26,34066.0,60157.0
2018-11-23,16388.0,28048.0
2018-11-21,51197.0,83506.0
2018-11-20,72958.0,132438.0
2018-11-19,52899.0,98824.0
2018-11-16,60178.0,97168.0
2018-11-15,60814.0,107855.0
2018-11-14,51814.0,82115.0
2018-11-13,33253.0,62940.0
2018-11-12,47639.0,94342.0
2018-11-09,52675.0,92920.0
2018-11-08,45676.0,83629.0
2018-11-07,61675.0,108909.0
2018-11-06,37160.0,72473.0
2018-11-05,53933.0,106929.0
2018-11-02,56002.0,104338.0
2018-11-01,46280.0,89693.0
2018-10-31,101784.0,177302.0
2018-10-30,74552.0,142816.0
2018-10-29,91998.0,162275.0
2018-10-26,128110.0,222541.0
2018-10-25,110954.0,183063.0
2018-10-24,77084.0,118667.0
2018-10-23,43610.0,78945.0
2018-10-22,26455.0,49604.0
2018-10-19,57965.0,114820.0
2018-10-18,59282.0,107258.0
2018-10-17,43847.0,79033.0
2018-10-16,55842.0,98584.0
2018-10-15,45841.0,76161.0
2018-10-12,88518.0,144893.0
2018-10-11,90984.0,151975.0
2018-10-10,68979.0,136923.0
2018-10-09,41451.0,81617.0
2018-10-08,52539.0,105835.0
2018-10-05,41345.0,83306.0
2018-10-04,65929.0,149241.0
2018-10-03,38108.0,91153.0
2018-10-02,44526.0,102485.0
2018-10-01,54774.0,96375.0
2018-09-28,60357.0,102400.0
2018-09-27,68022.0,114812.0
2018-09-26,39192.0,81527.0
2018-09-25,47010.0,91081.0
2018-09-24,35187.0,73212.0
2018-09-21,83634.0,140422.0
2018-09-20,44041.0,84026.0
2018-09-19,43977.0,77045.0
2018-09-18,35625.0,67025.0
2018-09-17,44427.0,93108.0
2018-09-14,38010.0,70242.0
2018-09-13,58827.0,130103.0
2018-09-12,48690.0,101592.0
2018-09-11,43983.0,83183.0
2018-09-10,36635.0,75682.0
2018-09-07,64152.0,120303.0
2018-09-06,59949.0,137204.0
2018-09-05,82882.0,163314.0
2018-09-04,75038.0,160430.0
2018-08-31,61580.0,145477.0
2018-08-30,41951.0,94051.0
2018-08-29,59601.0,127039.0
2018-08-28,43074.0,92128.0
2018-08-27,50984.0,96178.0
2018-08-24,40695.0,97794.0
2018-08-23,45628.0,86540.0
2018-08-22,32548.0,61653.0
2018-08-21,46556.0,81222.0
2018-08-20,34632.0,67451.0
2018-08-17,44622.0,126608.0
2018-08-16,52804.0,101484.0
2018-08-15,55219.0,101315.0
2018-08-14,33366.0,67439.0
2018-08-13,38704.0,85138.0
2018-08-10,41186.0,83962.0
2018-08-09,31888.0,69298.0
2018-08-08,41569.0,93575.0
2018-08-07,58949.0,125267.0
2018-08-06,21843.0,45442.0
2018-08-03,32733.0,61962.0
2018-08-02,59185.0,116655.0
2018-08-01,46696.0,95962.0
2018-07-31,46661.0,91105.0
2018-07-30,59906.0,128836.0
2018-07-27,85099.0,168938.0
2018-07-26,75579.0,160377.0
2018-07-25,61912.0,124005.0
2018-07-24,128537.0,271255.0
2018-07-23,55996.0,137666.0
