Flight,Carrier,Month,DayOfWeek,NumPrevFlights,PrevFlightGap,HistoricallyLate,InsufficientHistory,OriginInVolume,OriginOutVolume,DestInVolume,DestOutVolume,OriginPrecip,OriginAvgWind,OriginWindGust,OriginFog,OriginThunder,DestPrecip,DestAvgWind,DestWindGust,DestFog,DestThunder,TotalDelay
LAX-ORD,American Airlines,June,Wednesday,1,55,0,1,1.053359684,1.026929982,0.989847716,0.987341772,0,9.618842,19.908766,0,0,132,7.381902,16.105968,0,0,25
LAX-ORD,American Airlines,June,Thursday,1,55,0,1,1.021611002,1.019607843,0.960509554,0.990126939,0,8.724066,18.119214,0,0,0,10.06623,23.935258,0,0,0
LAX-ORD,American Airlines,June,Friday,2,35,0,1,1.02970297,0.998214286,0.990801577,1.001426534,0,7.605596,16.105968,1,0,0,9.842536,18.119214,0,0,0
LAX-ORD,American Airlines,June,Sunday,1,30,0.25,0,1.08793456,1.001788909,0.97029703,1.036339166,0,7.605596,17.000744,0,0,0,15.65858,31.988242,0,0,0
LAX-ORD,American Airlines,June,Monday,1,55,0.2,0,1.044176707,0.994661922,0.988402062,0.985955056,0,8.94776,18.119214,0,0,0,8.724066,17.000744,0,0,0
LAX-ORD,American Airlines,June,Tuesday,1,55,0.166666667,0,1.025641026,1.014869888,0.987129987,1.001426534,0,7.381902,17.000744,0,0,0,12.526864,27.96175,0,0,10
LAX-ORD,American Airlines,June,Wednesday,1,55,0.285714286,0,1.053359684,1.003590664,0.989847716,0.987341772,0,7.158208,14.987498,0,0,165,10.289924,31.988242,0,0,64
LAX-ORD,American Airlines,June,Thursday,2,55,0.375,0,1.021611002,1.019607843,0.977070064,1.008462623,0,8.276678,17.000744,1,0,81,8.276678,17.000744,0,0,70
LAX-ORD,American Airlines,June,Friday,1,55,0.333333333,0,1.02970297,1.021428571,1.007884363,1.019971469,0,6.039738,16.105968,1,0,3,8.500372,16.105968,0,0,0
LAX-ORD,American Airlines,June,Saturday,1,5,0.4,0,1.024774775,0.936440678,1.066563467,0.948176583,0,6.71082,14.092722,0,0,325,7.381902,31.093466,0,0,139
LAX-ORD,American Airlines,June,Sunday,1,55,0.454545455,0,1.116564417,1.026833631,1.004950495,1.055181696,0,8.052984,16.105968,0,0,0,4.921268,12.079476,0,0,75
LAX-ORD,American Airlines,June,Monday,1,55,0.416666667,0,1.044176707,1.017793594,0.988402062,1.004213483,0,7.82929,17.000744,1,0,13,5.59235,12.079476,0,0,2
LAX-ORD,American Airlines,June,Tuesday,1,55,0.384615385,0,1.025641026,1.039033457,0.987129987,1.019971469,0,7.605596,16.105968,1,0,104,4.697574,25.053728,0,0,0
LAX-ORD,American Airlines,June,Wednesday,1,55,0.428571429,0,1.053359684,1.026929982,0.989847716,1.005625879,0,5.144962,14.987498,0,0,0,7.381902,18.119214,0,0,18
LAX-ORD,American Airlines,June,Thursday,1,30,0.466666667,0,1.021611002,1.019607843,0.977070064,1.008462623,0,6.487126,16.105968,1,0,0,6.71082,10.06623,0,0,29
LAX-ORD,American Airlines,June,Friday,1,55,0.5,0,1.02970297,1.021428571,1.007884363,1.019971469,0,8.052984,17.000744,0,0,0,9.842536,18.119214,0,0,20
LAX-ORD,American Airlines,June,Saturday,1,30,0.470588235,0,1.024774775,0.936440678,1.046439628,0.948176583,0,5.816044,16.105968,0,0,0,12.079476,25.053728,0,0,11
LAX-ORD,American Airlines,June,Sunday,1,55,0.444444444,0,1.08793456,1.026833631,1.004950495,1.055181696,0,6.71082,14.987498,0,0,18,12.974252,29.08022,0,0,0
LAX-ORD,American Airlines,June,Monday,1,55,0.473684211,0,1.018072289,1.017793594,0.988402062,1.004213483,0,7.605596,16.105968,1,0,660,12.526864,31.093466,0,0,30
LAX-ORD,American Airlines,July,Tuesday,1,30,0.45,0,1.025641026,1.014869888,0.936936937,0.92724679,0,8.500372,18.119214,0,0,0,12.30317,23.935258,1,0,6
LAX-ORD,American Airlines,July,Wednesday,1,55,0.428571429,0,1.027667984,0.980251346,0.94035533,0.950773558,0,7.605596,16.105968,0,0,30,9.618842,18.119214,0,0,0
LAX-ORD,American Airlines,July,Thursday,1,55,0.454545455,0,0.996070727,1.019607843,0.977070064,0.953455571,0,6.71082,18.119214,0,0,18,6.71082,16.105968,0,0,34
LAX-ORD,American Airlines,July,Friday,1,55,0.434782609,0,0.952475248,0.905357143,0.580814717,0.723252496,0,5.144962,14.092722,0,0,0,7.158208,12.974252,0,0,0
LAX-ORD,American Airlines,July,Saturday,1,55,0.416666667,0,1.024774775,0.908898305,0.986068111,0.998080614,0,6.934514,17.000744,0,0,0,8.276678,19.908766,0,0,0
LAX-ORD,American Airlines,July,Sunday,1,55,0.4,0,1.030674847,0.976744186,0.987623762,0.960969044,0,7.605596,17.000744,0,0,0,12.30317,21.922012,0,0,3
LAX-ORD,American Airlines,July,Monday,1,30,0.384615385,0,0.991967871,1.040925267,0.971649485,0.985955056,0,8.052984,14.987498,1,0,160,8.500372,25.053728,0,1,10
LAX-ORD,American Airlines,July,Tuesday,1,55,0.37037037,0,1,1.014869888,0.953667954,0.982881598,0,7.605596,16.105968,1,0,137,12.079476,23.040482,0,0,11
LAX-ORD,American Airlines,July,Wednesday,1,55,0.357142857,0,1.001976285,1.026929982,0.956852792,1.005625879,0,8.724066,17.000744,1,0,0,8.500372,19.908766,0,0,0
LAX-ORD,American Airlines,July,Thursday,1,55,0.344827586,0,0.996070727,1.019607843,0.960509554,1.008462623,0,9.395148,19.908766,0,0,0,4.47388,14.092722,0,0,11
LAX-ORD,American Airlines,July,Friday,1,5,0.366666667,0,1.003960396,1.021428571,0.990801577,1.019971469,0,9.842536,21.027236,0,0,3,5.368656,14.092722,0,0,16
LAX-ORD,American Airlines,July,Saturday,1,55,0.387096774,0,0.966216216,0.936440678,1.00619195,0.948176583,0,7.605596,14.987498,0,0,119,10.513618,29.08022,0,0,28
LAX-ORD,American Airlines,July,Sunday,1,55,0.375,0,1.00204499,1.001788909,0.97029703,0.998654105,0,7.158208,14.987498,0,0,3,9.618842,16.105968,0,0,0
LAX-ORD,American Airlines,July,Monday,1,55,0.363636364,0,0.991967871,1.017793594,0.971649485,1.004213483,0,5.59235,16.105968,1,0,51,8.052984,23.040482,0,0,0
LAX-ORD,American Airlines,July,Tuesday,1,55,0.352941176,0,1,1.014869888,0.97039897,0.982881598,0,8.276678,17.000744,1,0,13,10.513618,21.027236,0,0,0
LAX-ORD,American Airlines,July,Wednesday,1,55,0.342857143,0,1.001976285,1.026929982,0.973350254,1.005625879,0,10.06623,18.119214,0,0,0,7.381902,18.119214,0,0,0
LAX-ORD,American Airlines,July,Thursday,1,55,0.361111111,0,1.021611002,0.996434938,0.977070064,1.008462623,0,11.632088,21.922012,0,0,0,5.59235,12.974252,0,0,16
LAX-ORD,American Airlines,July,Friday,1,55,0.351351351,0,1.003960396,1.021428571,1.007884363,1.019971469,0,9.171454,18.119214,0,0,0,6.934514,18.119214,0,0,0
LAX-ORD,American Airlines,July,Saturday,1,55,0.342105263,0,0.966216216,0.936440678,0.945820433,0.923224568,0,6.934514,14.987498,0,0,0,4.697574,14.092722,0,0,5
LAX-ORD,American Airlines,July,Sunday,1,55,0.333333333,0,1.00204499,1.001788909,0.987623762,0.979811575,0,8.500372,21.027236,0,0,0,4.47388,10.06623,0,0,0
LAX-ORD,American Airlines,July,Monday,1,55,0.325,0,0.991967871,1.017793594,0.988402062,1.004213483,0,10.513618,23.040482,0,0,0,7.158208,14.987498,0,0,0
LAX-ORD,American Airlines,July,Tuesday,1,55,0.317073171,0,1,1.014869888,0.97039897,0.982881598,0,8.94776,23.935258,0,0,3,11.855782,23.040482,0,0,0
LAX-ORD,American Airlines,July,Wednesday,1,55,0.30952381,0,1.001976285,1.026929982,0.973350254,1.005625879,0,8.94776,23.935258,0,0,0,16.105968,25.053728,0,0,0
LAX-ORD,American Airlines,July,Thursday,1,55,0.325581395,0,0.996070727,1.019607843,0.960509554,0.971791255,0,6.263432,17.000744,0,0,0,8.724066,14.092722,0,0,24
LAX-ORD,American Airlines,July,Friday,1,55,0.318181818,0,1.003960396,1.021428571,0.990801577,1.019971469,0,8.052984,14.092722,0,0,0,9.171454,21.027236,0,0,15
LAX-ORD,American Airlines,July,Saturday,1,55,0.311111111,0,0.966216216,0.936440678,0.965944272,0.973128599,0,7.605596,16.105968,0,0,0,5.59235,14.092722,0,0,0
LAX-ORD,American Airlines,July,Sunday,1,55,0.304347826,0,1.00204499,1.001788909,0.987623762,0.979811575,36,8.500372,18.119214,1,0,5,14.987498,29.08022,0,0,13
LAX-ORD,American Airlines,July,Monday,1,55,0.29787234,0,0.991967871,1.017793594,0.954896907,1.004213483,0,8.276678,18.119214,0,0,0,11.1847,23.040482,0,0,0
LAX-ORD,American Airlines,July,Tuesday,1,55,0.291666667,0,1,1.014869888,0.953667954,0.982881598,0,6.934514,17.000744,0,0,3,9.618842,33.106712,0,0,0
LAX-ORD,American Airlines,July,Wednesday,1,55,0.285714286,0,1.001976285,1.026929982,0.956852792,1.005625879,0,6.71082,16.105968,0,0,0,6.934514,14.092722,0,0,7
LAX-ORD,American Airlines,July,Thursday,1,55,0.28,0,0.996070727,1.019607843,0.960509554,0.990126939,0,7.605596,18.119214,0,0,0,8.500372,19.908766,0,0,0
LAX-ORD,American Airlines,August,Friday,1,55,0.294117647,0,1.003960396,1.044642857,1.024967148,1.019971469,0,6.934514,16.105968,0,0,38,6.934514,25.053728,0,1,27
LAX-ORD,American Airlines,August,Saturday,1,30,0.288461538,0,0.966216216,0.963983051,1.00619195,0.973128599,3,7.158208,16.105968,0,0,0,4.250186,14.092722,0,0,0
LAX-ORD,American Airlines,August,Sunday,1,55,0.283018868,0,1.00204499,1.026833631,1.004950495,0.979811575,5,5.816044,18.119214,0,0,0,6.934514,14.987498,0,0,0
LAX-ORD,American Airlines,August,Monday,1,55,0.296296296,0,0.965863454,1.040925267,1.005154639,1.004213483,0,8.500372,17.000744,1,0,701,7.605596,21.922012,0,0,20
LAX-ORD,American Airlines,August,Tuesday,1,55,0.290909091,0,1,1.039033457,0.987129987,0.982881598,0,9.618842,21.027236,0,0,0,6.263432,14.987498,0,0,0
LAX-ORD,American Airlines,August,Wednesday,1,55,0.285714286,0,1.001976285,1.0502693,0.989847716,0.987341772,0,9.171454,18.119214,0,0,0,6.263432,10.06623,0,0,0
LAX-ORD,American Airlines,August,Thursday,1,125,0.280701754,0,0.996070727,1.042780749,0.993630573,1.008462623,0,7.605596,16.105968,0,0,0,8.94776,14.987498,0,0,14
LAX-ORD,American Airlines,August,Friday,1,55,0.275862069,0,0.978217822,1.044642857,1.024967148,1.019971469,0,8.052984,17.000744,1,0,0,10.737312,21.027236,0,0,0
LAX-ORD,American Airlines,August,Saturday,1,55,0.271186441,0,0.995495495,0.963983051,1.00619195,0.973128599,0,7.381902,17.000744,0,0,0,9.171454,18.119214,0,0,0
LAX-ORD,American Airlines,August,Sunday,1,55,0.266666667,0,1.00204499,0.951699463,1.004950495,0.979811575,0,7.82929,17.000744,0,0,0,8.500372,16.105968,0,0,0
LAX-ORD,American Airlines,August,Monday,1,55,0.262295082,0,1.018072289,0.948398577,1.005154639,1.004213483,0,8.94776,18.119214,1,0,216,6.71082,17.000744,0,0,6
LAX-ORD,American Airlines,August,Tuesday,1,55,0.258064516,0,1.025641026,0.942379182,0.987129987,0.982881598,0,8.500372,19.908766,0,0,18,12.079476,25.053728,0,0,12
LAX-ORD,American Airlines,August,Wednesday,1,55,0.253968254,0,1.027667984,0.956912029,0.989847716,1.005625879,0,8.500372,19.908766,0,0,0,9.395148,18.119214,0,0,11
LAX-ORD,American Airlines,August,Thursday,1,55,0.25,0,1.021611002,0.950089127,0.993630573,0.990126939,0,7.605596,14.987498,0,0,0,7.605596,14.092722,0,0,0
LAX-ORD,American Airlines,August,Friday,1,55,0.246153846,0,1.02970297,0.951785714,1.024967148,1.019971469,0,8.500372,17.000744,0,0,0,6.039738,12.974252,0,0,7
LAX-ORD,American Airlines,August,Saturday,1,55,0.242424242,0,1.054054054,1.046610169,1.00619195,0.973128599,0,7.381902,17.000744,0,0,0,8.276678,16.105968,0,0,0
LAX-ORD,American Airlines,August,Sunday,1,55,0.23880597,0,1.00204499,0.951699463,1.022277228,0.979811575,0,7.605596,16.105968,0,0,0,8.500372,14.987498,0,0,0
LAX-ORD,American Airlines,August,Monday,1,55,0.235294118,0,1.018072289,0.925266904,0.988402062,0.985955056,0,6.263432,14.987498,0,0,0,4.921268,14.092722,0,0,0
LAX-ORD,American Airlines,June,Sunday,1,55,0,1,0.858895706,1.001788909,0.952970297,1.036339166,0,7.605596,14.987498,0,0,0,12.974252,29.08022,0,1,0
LAX-ORD,American Airlines,June,Monday,2,55,0,1,0.913654618,0.925266904,0.971649485,0.967696629,0,9.171454,19.908766,0,0,36,14.54011,35.119958,0,0,0
LAX-ORD,American Airlines,June,Tuesday,1,55,0,1,0.897435897,0.918215613,0.987129987,0.982881598,0,8.052984,17.000744,0,0,0,9.842536,23.040482,0,0,0
LAX-ORD,American Airlines,June,Wednesday,1,55,0,0,0.899209486,0.933572711,0.973350254,1.005625879,0,7.82929,16.105968,0,0,48,9.395148,17.000744,1,0,15
LAX-ORD,American Airlines,June,Thursday,1,55,0,0,1.047151277,0.950089127,1.059872611,1.026798307,0,8.276678,18.119214,0,0,0,6.039738,12.974252,0,0,0
LAX-ORD,American Airlines,June,Friday,1,55,0,0,1.003960396,0.951785714,1.076215506,1.038516405,0,8.724066,17.000744,0,0,0,4.921268,14.092722,0,0,0
LAX-ORD,American Airlines,June,Saturday,1,55,0,0,1.054054054,1.101694915,1.167182663,1.02303263,0,7.381902,16.105968,0,0,20,7.605596,19.908766,0,0,0
LAX-ORD,American Airlines,June,Sunday,1,55,0,0,1.08793456,1.076923077,1.056930693,1.055181696,0,7.605596,16.105968,0,0,58,14.092722,23.935258,0,0,0
LAX-ORD,American Airlines,June,Monday,1,55,0.111111111,0,1.044176707,1.087188612,1.055412371,1.02247191,0,6.263432,14.987498,0,0,0,8.500372,16.105968,0,0,18
LAX-ORD,American Airlines,June,Tuesday,2,55,0.2,0,1.025641026,1.087360595,1.054054054,1.019971469,0,7.82929,16.105968,0,0,320,10.289924,21.027236,1,0,17
ORD-LAX,American Airlines,June,Wednesday,0,240,0,1,1.151898734,1.024390244,0.981543624,0.910984848,132,7.381902,16.105968,0,0,0,9.618842,19.908766,0,0,22
ORD-LAX,American Airlines,June,Thursday,0,240,0,1,1.090322581,0.989130435,0.9568,0.912713472,0,10.06623,23.935258,0,0,0,8.724066,18.119214,0,0,0
ORD-LAX,American Airlines,June,Friday,0,240,0,1,1.083333333,1.012987013,0.966074313,0.948176583,0,9.842536,18.119214,0,0,0,7.605596,16.105968,1,0,0
ORD-LAX,American Airlines,June,Sunday,0,240,0.5,0,1.105263158,1.052023121,0.980735552,0.909747292,0,15.65858,31.988242,0,0,0,7.605596,17.000744,0,0,95
ORD-LAX,American Airlines,June,Monday,0,240,0.4,0,1.121405751,0.99092559,0.952229299,0.944550669,0,8.724066,17.000744,0,0,0,8.94776,18.119214,0,0,4
ORD-LAX,American Airlines,June,Tuesday,0,240,0.5,0,1.133956386,1.065176909,0.996666667,0.95,0,12.526864,27.96175,0,0,0,7.381902,17.000744,0,0,40
ORD-LAX,American Airlines,June,Wednesday,0,240,0.428571429,0,1.193037975,1.048780488,0.981543624,0.960227273,165,10.289924,31.988242,0,0,0,7.158208,14.987498,0,0,0
ORD-LAX,American Airlines,June,Thursday,0,240,0.375,0,1.132258065,1.012681159,0.9776,0.937381404,81,8.276678,17.000744,0,0,0,8.276678,17.000744,1,0,14
ORD-LAX,American Airlines,June,Friday,0,240,0.333333333,0,1.12345679,1.037105751,0.987075929,0.948176583,3,8.500372,16.105968,0,0,0,6.039738,16.105968,1,0,0
ORD-LAX,American Airlines,June,Saturday,0,240,0.3,0,1.206185567,1.144886364,1.002202643,0.981632653,325,7.381902,31.093466,0,0,0,6.71082,14.092722,0,0,0
ORD-LAX,American Airlines,June,Sunday,0,240,0.272727273,0,1.151315789,1.052023121,1.00525394,0.909747292,0,4.921268,12.079476,0,0,0,8.052984,16.105968,0,0,0
ORD-LAX,American Airlines,June,Monday,0,240,0.25,0,1.121405751,1.014519056,0.972929936,0.944550669,13,5.59235,12.079476,0,0,0,7.82929,17.000744,1,0,0
